id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
1,7,1,14,0,12,4,0.24,6,2,1,0.25,14,1,0,3,4,14.3,28.78,11846.2,0.14,91,0.03,658.12,411.64,0.25,3,6,12,0.2,37,54,9,14,20,82.35,17,N
2,7,2,14,0,12,4,0.24,6,2,2,0.5,15,1,0,3,5,15.95,27.3,11891.1,0.15,95,0.04,660.62,435.57,0.25,3,6,13,0.2,39,56,10,14,20,82.35,17,N
3,7,0,4,0,12,4,0.8,6,2,1,0.25,12,1,0,1,3,8.07,7,395.31,0.02,17,0.14,21.96,56.47,0.25,3,6,10,0.5,6,11,3,7,8,80,5,N
4,3,0,1,0,4,2,1,2,2,1,0.5,5,1,0,1,3,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,0.5,1,2,5,0.5,2,5,2,5,4,50,2,N
5,3,0,1,14,4,2,1,2,2,1,0.5,5,1,0,1,3,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,0.5,1,2,5,0.11,2,5,2,5,18,93.75,2,N
6,3,1,5,0,4,2,0.29,2,2,2,1,7,1,0,2,3,7.13,13.5,1298.85,0.03,26,0.07,72.16,96.21,0.5,1,2,7,0.2,12,14,4,9,10,71.43,7,N
7,3,1,5,0,4,2,0.29,2,2,2,1,7,1,0,2,4,9.07,12.6,1439.18,0.04,30,0.08,79.95,114.22,0.5,1,2,7,0.18,14,16,5,9,11,71.43,7,N
8,3,0,0,0,4,2,1,2,2,1,0.5,6,1,0,2,4,10.8,3.33,120,0.01,12,0.3,6.67,36,0.5,1,2,6,0.4,4,8,3,5,5,0,2,N
9,3,0,0,0,4,2,1,2,2,1,0.5,6,1,0,2,4,10.8,3.33,120,0.01,12,0.3,6.67,36,0.5,1,2,6,0.4,4,8,3,5,5,0,2,N
10,3,0,0,0,4,2,1,2,2,1,0.5,6,1,0,2,4,10.8,3.33,120,0.01,12,0.3,6.67,36,0.5,1,2,6,0.4,4,8,3,5,5,0,2,N
11,7,6,26,1,12,4,0.13,6,2,4,1,21,4,1,4,5,31.4,18.47,10714.74,0.19,116,0.05,595.26,580,1,3,6,19,0.12,54,62,19,13,34,87.1,30,N
12,7,5,26,1,12,4,0.13,6,2,3,0.75,19,4,1,4,4,27.77,19.44,10500,0.18,108,0.05,583.33,540,1,3,6,17,0.12,50,58,18,14,34,87.1,30,N
13,7,3,21,1,12,4,0.16,6,2,4,1,17,4,1,4,5,22.24,20.53,9376.55,0.15,94,0.05,520.91,456.65,1,3,6,15,0.13,44,50,15,14,30,84.62,25,N
14,7,2,21,1,12,4,0.16,6,2,2,0.5,15,4,1,4,4,19.5,21.43,8952.56,0.14,86,0.05,497.36,417.79,1,3,6,13,0.14,40,46,14,15,29,84.62,25,N
15,3,2,6,0,4,2,0.25,2,2,2,1,7,1,0,2,2,9.91,11.2,1243.35,0.04,30,0.09,69.07,111.01,0.5,1,2,7,0.18,14,16,5,8,11,75,8,N
16,3,2,6,0,4,2,0.25,2,2,2,1,7,1,0,2,3,12.09,11.33,1553.4,0.05,36,0.09,86.3,137.06,0.5,1,2,7,0.18,17,19,6,8,11,75,8,N
17,3,0,6,0,4,2,0.25,2,2,1,0.5,6,1,0,2,2,8.79,7.88,544.86,0.02,20,0.13,30.27,69.19,0.5,1,2,6,0.2,9,11,4,7,10,75,8,N
18,3,6,10,0,4,2,0.17,2,2,2,1,10,1,0,2,7,32.65,10.67,3715.08,0.12,75,0.09,206.39,348.29,0.5,1,2,10,0.12,32,43,15,10,17,83.33,12,N
19,3,6,10,0,4,2,0.17,2,2,2,1,10,1,0,2,8,34.95,10.63,3945.43,0.12,79,0.09,219.19,371.33,0.5,1,2,10,0.11,34,45,16,10,18,83.33,12,N
20,5,6,12,0,8,3,0.23,4,2,2,0.67,17,1,0,1,4,27.66,13.75,5230.38,0.13,80,0.07,290.58,380.39,0.33,2,4,16,0.17,40,40,16,11,18,92.31,13,N
21,3,3,9,0,4,2,0.18,2,2,2,1,9,1,0,2,2,13.9,15,3127.44,0.07,50,0.07,173.75,208.5,0.5,1,2,9,0.14,24,26,8,10,14,81.82,11,N
22,3,3,9,0,4,2,0.18,2,2,2,1,9,1,0,2,3,15.84,15.56,3832.57,0.08,58,0.06,212.92,246.38,0.5,1,2,9,0.14,28,30,9,10,14,81.82,11,N
23,5,2,3,0,8,3,0.75,4,2,2,0.67,12,1,0,1,2,9.29,11,1124.05,0.03,25,0.09,62.45,102.19,0.33,2,4,11,0.5,12,13,6,11,6,75,4,N
24,5,2,3,0,8,3,0.75,4,2,2,0.67,12,1,0,1,3,11.02,10.21,1150.01,0.04,27,0.1,63.89,112.59,0.33,2,4,11,0.43,13,14,7,11,7,75,4,N
25,3,2,7,0,4,2,0.22,2,2,2,1,6,1,0,2,3,12.02,9.75,1142.77,0.04,30,0.1,63.49,117.21,0.5,1,2,6,0.17,13,17,6,9,12,77.78,9,N
26,3,3,7,0,4,2,0.22,2,2,2,1,7,1,0,2,4,15.5,8.57,1138.58,0.04,34,0.12,63.25,132.83,0.5,1,2,7,0.17,15,19,7,8,12,77.78,9,N
27,5,4,18,1,8,3,0.14,4,2,2,0.67,14,1,0,3,5,22.46,14.39,4653.68,0.11,68,0.07,258.54,323.33,0.33,2,4,13,0.12,31,37,14,13,26,86.36,21,N
28,5,3,18,1,8,3,0.14,4,2,2,0.67,13,1,0,3,4,19.43,16.14,5069.44,0.1,66,0.06,281.64,313.82,0.33,2,4,12,0.12,30,36,13,14,26,86.36,21,N
29,5,1,14,1,8,3,0.18,4,2,2,0.67,11,1,0,3,5,15.13,14.95,3381.36,0.08,50,0.07,187.85,226.18,0.33,2,4,10,0.13,23,27,10,13,23,83.33,17,N
30,5,0,14,1,8,3,0.18,4,2,1,0.33,10,1,0,3,4,14.37,14.67,3092.19,0.07,48,0.07,171.79,210.83,0.33,2,4,9,0.14,22,26,9,12,22,83.33,17,N
